wedding_id,verdict,current,cluster,crm_source,legacy_source,cluster_source_signals,cluster_all_signals,inquiry_date
c9ff7e14-0b09-40bb-9c37-5a6d6c4f8e49,chain_wins,"direct","","","venue_calculator",0,0,"2026-03-30T20:25:00+00:00"
8ad733e7-8b28-41d3-a593-68848e687655,chain_wins,"website","","web_form","website",0,1,"2025-07-31T00:00:00+00:00"
21af385e-b823-4b11-a012-b34cd7c6a82d,agree,"the_knot","the_knot","","the_knot",6,6,"2026-03-24T20:31:22+00:00"
f65def74-47b7-4543-976a-3c136079c20e,agree,"the_knot","the_knot","","website",1,1,"2026-04-19T07:46:56+00:00"
ef2798ab-6e0f-40ac-acf9-45f47bb0f4f8,agree,"the_knot","the_knot","","website",2,2,"2026-04-17T10:38:28+00:00"
411f75fe-27c3-4738-8e3b-e532e0b1d853,agree,"the_knot","the_knot","","the_knot",2,2,"2026-04-17T16:18:10+00:00"
ac399a31-ffbf-4ecc-b959-82a81fa21c5a,cluster_finds_real_source,"calendly","the_knot","","website",2,3,"2026-03-29T22:40:25+00:00"
832b4512-fd90-4666-b89f-794ea1d31b71,agree,"the_knot","the_knot","","the_knot",3,3,"2026-04-09T16:56:05+00:00"
1433f5a3-9f8b-4f82-b5b9-e0597c9349d4,agree,"the_knot","the_knot","","the_knot",2,2,"2026-04-06T23:22:02+00:00"
76452f3a-14f9-4cdf-9461-aba50f03b5d5,chain_wins,"honeybook","","honeybook","honeybook",0,0,"2026-04-27T21:03:41+00:00"
7a04da00-ec23-421b-87e8-cdbdeff73cd5,chain_wins,"honeybook","","honeybook","honeybook",0,0,"2024-11-22T12:53:03+00:00"
d80c793f-445b-4c0c-8ca2-4be9c4bbf1e8,chain_wins,"honeybook","","honeybook","honeybook",0,0,"2024-05-12T00:14:43+00:00"
7ce290c1-4360-440c-8a15-e174a5662df8,both_null,"","","generic_csv","",0,0,"2025-07-25T16:56:00+00:00"
e2997d7f-7c1b-45c1-b866-4f4ea51ba5ce,agree,"the_knot","the_knot","","the_knot",6,6,"2026-03-24T03:55:32+00:00"
b4aa66fd-bb07-4a1b-aa23-0b11f3a2a3de,agree,"the_knot","the_knot","","the_knot",4,4,"2026-04-13T04:41:04+00:00"
1f65c191-2f93-4f3f-bb4d-0120bc4d05a9,agree,"the_knot","the_knot","","the_knot",3,3,"2026-04-09T19:06:54+00:00"
189ee317-a872-4f68-932b-ff790365a40b,disagree_specific_value,"weddingwire","wedding_wire","","wedding_wire",2,2,"2026-03-30T22:31:02+00:00"
a9579f33-cf3e-4393-a68d-b468f889c8bf,agree,"the_knot","the_knot","","the_knot",4,4,"2026-03-09T19:12:57+00:00"
c0126e68-9a0c-416c-8ed9-55531da2d03c,chain_wins,"direct","","","venue_calculator",0,0,"2026-04-06T16:43:56+00:00"
f61b3a36-4fb6-4b0c-997f-b50014eae3aa,chain_wins,"honeybook","","honeybook","honeybook",0,0,"2026-05-01T11:07:58+00:00"
278c6948-6f1f-4100-be55-d99e2d922536,agree,"the_knot","the_knot","","the_knot",7,7,"2026-03-21T13:36:11+00:00"
4b2f266d-7ccf-4c1b-b36a-ca4e32730cb4,chain_wins,"direct","","","venue_calculator",0,0,"2026-03-30T23:18:35+00:00"
557dc8ee-9a76-48f2-bf1e-42651b875c7b,agree,"the_knot","the_knot","","the_knot",3,3,"2026-03-15T12:47:22+00:00"
969862fa-0d38-4951-85da-f3b8b76577b7,agree,"the_knot","the_knot","","the_knot",4,4,"2026-03-21T01:23:13+00:00"
76cd613f-fc6f-4b85-849f-c70a31947933,chain_wins,"calendly","","","",0,1,"2026-02-15T17:18:10+00:00"
cc56c44d-d7b4-4bdd-85d7-8991b15bff7f,agree,"the_knot","the_knot","","the_knot",1,1,"2026-03-06T16:47:43+00:00"
d0f0c74f-12a5-4dcb-921d-2c7c84dd4bbd,agree,"the_knot","the_knot","","the_knot",8,8,"2026-02-08T18:26:40+00:00"
f9dfe1cd-ee13-49f4-a641-fe072cda7357,agree,"the_knot","the_knot","","the_knot",4,4,"2026-01-28T01:34:41+00:00"
43edc1e4-26d3-4f98-b670-da16dbd603a3,agree,"the_knot","the_knot","","the_knot",3,3,"2026-04-23T19:35:13.915+00:00"
75afea0f-c9c8-4416-90db-3620f78ca9a6,chain_wins,"website","","","website",0,0,"2026-04-20T17:11:53+00:00"
5c0fb5e0-d20b-4ba5-8216-119e2859b792,agree,"the_knot","the_knot","","website",1,1,"2026-04-22T22:06:41+00:00"
93f72d18-89ca-4f87-9299-46cabaea67d9,agree,"the_knot","the_knot","","the_knot",3,3,"2026-04-11T11:59:39+00:00"
71415809-2fe4-4929-8331-9a739b3de7cb,agree,"the_knot","the_knot","","the_knot",1,1,"2026-03-15T21:59:03+00:00"
3d78083c-dade-47ed-b81b-6b0e068c791d,agree,"the_knot","the_knot","","the_knot",3,3,"2026-03-16T23:49:01+00:00"
305f57b3-b311-44fa-bdad-0a5e32bbeb9b,cluster_finds_real_source,"calendly","the_knot","","",1,3,"2026-03-23T23:55:47+00:00"
369eda8a-07e9-4d2f-84be-a3dfb1adbc09,chain_wins,"website","","","website",0,0,"2026-04-19T05:51:59+00:00"
ff481598-fca1-401f-bb53-4e2f2c720403,agree,"the_knot","the_knot","","the_knot",2,2,"2026-03-11T17:03:29+00:00"
4290f51b-d657-4d6a-ac3c-ecc0db139f7f,agree,"the_knot","the_knot","","the_knot",3,3,"2026-03-10T04:13:19+00:00"
dc8ef8bc-d931-4f3d-9f9b-6325765574d2,agree,"the_knot","the_knot","","the_knot",6,10,"2026-02-11T03:54:59+00:00"
86c8d23b-7c79-496d-8010-0332d76cbd07,chain_wins,"website","","","website",0,0,"2026-04-19T01:24:07+00:00"
9bee6bd1-f108-4e1f-afec-941f9a460083,agree,"the_knot","the_knot","","the_knot",2,2,"2026-03-02T06:41:23+00:00"
1a6eafed-57ff-4b4a-8314-f5f61ed24a57,agree,"the_knot","the_knot","","the_knot",2,2,"2026-02-27T01:41:02+00:00"
7e7d85dd-a581-4264-96c0-e32f990ab400,agree,"the_knot","the_knot","","the_knot",1,2,"2026-03-07T15:50:37+00:00"
0c3c7278-cd59-4b98-a7fa-37c08c12bb41,agree,"the_knot","the_knot","","the_knot",3,3,"2026-02-26T19:57:56+00:00"
60996a8e-30a5-4dd9-9982-4e24fd5b45c4,agree,"the_knot","the_knot","","the_knot",2,2,"2026-02-22T19:37:00+00:00"
d77bd020-e2f0-4960-b46f-a4c1b7c43166,agree,"the_knot","the_knot","","the_knot",3,3,"2026-02-21T22:58:07+00:00"
3bb34a8e-7ee8-423a-8cb3-32549041eeff,agree,"the_knot","the_knot","","the_knot",3,3,"2026-02-17T21:58:18+00:00"
9a35934e-8a0f-46f0-ba84-275a205d532a,agree,"the_knot","the_knot","","the_knot",3,3,"2026-03-08T20:41:15+00:00"
0e7f1b05-c2a7-4335-b15c-ce5750551509,agree,"the_knot","the_knot","","the_knot",5,5,"2026-02-04T00:14:48+00:00"
cdbf04d3-8fdd-458f-a7dc-dad69982c0e1,agree,"the_knot","the_knot","","the_knot",5,5,"2026-02-14T18:21:45+00:00"
ed30f243-b49c-4b82-8381-c85d15ec79c9,agree,"the_knot","the_knot","","the_knot",3,3,"2026-02-08T20:32:44+00:00"
ae6ae902-66ae-4480-b4bb-044a444fcdda,chain_wins,"calendly","","","",0,1,"2026-02-08T18:38:57+00:00"
76b7b4fd-8a0a-4434-850b-032551b1f96b,agree,"the_knot","the_knot","","the_knot",6,6,"2026-03-03T17:21:59+00:00"
a46ff481-1338-4bd5-a32a-2f894a151824,chain_wins,"direct","","","venue_calculator",0,0,"2026-05-03T03:15:51+00:00"
6f04cd9e-b5a3-4c97-ab0c-5f83667bc3e1,agree,"the_knot","the_knot","","the_knot",1,1,"2026-04-23T21:25:03.842+00:00"
a808e29b-74e9-4594-a1b9-5ac23158d9e3,agree,"the_knot","the_knot","","the_knot",4,4,"2026-02-08T20:53:26+00:00"
cd16129c-3357-492a-8ca6-1a4b92c329f2,agree,"the_knot","the_knot","","the_knot",6,6,"2026-02-01T20:37:39+00:00"
d5cde463-7c14-4449-a535-7fab9c3830dc,chain_wins,"website","","web_form","website",0,4,"2026-03-17T00:00:00+00:00"
96c35029-addb-41be-b888-840a3c5028d8,chain_wins,"calendly","","","website",0,1,"2026-04-19T18:12:28+00:00"
46576e3a-6b78-4fab-a93a-2924d85c7887,agree,"the_knot","the_knot","","the_knot",1,1,"2026-03-25T15:07:52+00:00"
00073a6f-7c8a-4a44-86d6-ee9af5534901,agree,"the_knot","the_knot","","the_knot",2,2,"2026-03-20T19:31:44+00:00"
783d3b2b-34c2-4a6d-ae8d-caeeb659e66e,agree,"the_knot","the_knot","","the_knot",3,3,"2026-03-08T14:27:18+00:00"
ffac314c-7545-4f28-8b5b-b126182e8ad1,agree,"the_knot","the_knot","","the_knot",2,2,"2026-03-05T14:49:13+00:00"
